origin,dest,count
ALGARROBO,ALGARROBO,10376
ALHUE,ALHUE,5784
ALTO BIOBIO,ALTO BIOBIO,5360
ALTO DEL CARMEN,ALTO DEL CARMEN,4021
ALTO HOSPICIO,ALTO HOSPICIO,99082
ALTO HOSPICIO,IQUIQUE,3106
ALTO HOSPICIO,POZO ALMONTE,568
ANCUD,ANCUD,34665
ANCUD,PUERTO MONTT,586
ANDACOLLO,ANDACOLLO,9961
ANGOL,ANGOL,44746
ANGOL,TEMUCO,586
ANTOFAGASTA,ALTO HOSPICIO,503
ANTOFAGASTA,ANTOFAGASTA,328154
ANTOFAGASTA,ARICA,1083
ANTOFAGASTA,CALAMA,1519
ANTOFAGASTA,COPIAPO,648
ANTOFAGASTA,COQUIMBO,2894
ANTOFAGASTA,IQUIQUE,980
ANTOFAGASTA,LA SERENA,3468
ANTOFAGASTA,LAS CONDES,1059
ANTOFAGASTA,NUNOA,782
ANTOFAGASTA,OVALLE,902
ANTOFAGASTA,PROVIDENCIA,585
ANTOFAGASTA,SANTIAGO,1290
ANTOFAGASTA,TOCOPILLA,643
ANTOFAGASTA,VALPARAISO,522
ANTOFAGASTA,VINA DEL MAR,871
ANTUCO,ANTUCO,3636
ARAUCO,ARAUCO,32402
ARAUCO,CONCEPCION,552
ARICA,ALTO HOSPICIO,709
ARICA,ANTOFAGASTA,1077
ARICA,ARICA,201834
ARICA,CALAMA,504
ARICA,COQUIMBO,634
ARICA,IQUIQUE,917
ARICA,LA SERENA,751
ARICA,SANTIAGO,860
AYSEN,AYSEN,18766
BUIN,BUIN,84668
BUIN,PAINE,1723
BUIN,SAN BERNARDO,725
BUIN,SANTIAGO,648
BULNES,BULNES,19178
CABILDO,CABILDO,17541
CABO DE HORNOS,CABO DE HORNOS,995
CABRERO,CABRERO,26009
CALAMA,ANTOFAGASTA,3435
CALAMA,ARICA,861
CALAMA,CALAMA,135181
CALAMA,COQUIMBO,1870
CALAMA,IQUIQUE,701
CALAMA,LA SERENA,2206
CALAMA,OVALLE,596
CALAMA,SANTIAGO,753
CALAMA,VINA DEL MAR,560
CALBUCO,CALBUCO,30413
CALBUCO,PUERTO MONTT,825
CALDERA,CALDERA,14656
CALERA,CALERA,42734
CALERA,HIJUELAS,685
CALERA,LA CRUZ,1023
CALERA,QUILLOTA,837
CALERA DE TANGO,CALERA DE TANGO,20149
CALLE LARGA,CALLE LARGA,12703
CALLE LARGA,LOS ANDES,558
CAMARONES,CAMARONES,693
