origin,dest,count
ALGARROBO,ALGARROBO,10376
ALGARROBO,ALTO HOSPICIO,1
ALGARROBO,ANGOL,1
ALGARROBO,ANTOFAGASTA,11
ALGARROBO,ARICA,3
ALGARROBO,AYSEN,3
ALGARROBO,BUIN,11
ALGARROBO,BULNES,1
ALGARROBO,CABO DE HORNOS,4
ALGARROBO,CABRERO,1
ALGARROBO,CALAMA,1
ALGARROBO,CALERA,3
ALGARROBO,CALERA DE TANGO,1
ALGARROBO,CANETE,12
ALGARROBO,CARAHUE,3
ALGARROBO,CARTAGENA,24
ALGARROBO,CASABLANCA,70
ALGARROBO,CASTRO,2
ALGARROBO,CERRILLOS,8
ALGARROBO,CERRO NAVIA,6
ALGARROBO,CHAITEN,1
ALGARROBO,CHIGUAYANTE,1
ALGARROBO,CHILLAN,4
ALGARROBO,CHILLAN VIEJO,1
ALGARROBO,CHONCHI,1
ALGARROBO,CISNES,5
ALGARROBO,COLINA,11
ALGARROBO,COLLIPULLI,4
ALGARROBO,CONCEPCION,6
ALGARROBO,CONCHALI,6
ALGARROBO,CONCON,24
ALGARROBO,COPIAPO,7
ALGARROBO,COQUIMBO,17
ALGARROBO,CORONEL,1
ALGARROBO,COYHAIQUE,1
ALGARROBO,CUNCO,3
ALGARROBO,CURACAUTIN,1
ALGARROBO,CURACAVI,3
ALGARROBO,CUREPTO,1
ALGARROBO,CURICO,9
ALGARROBO,DIEGO DE ALMAGRO,2
ALGARROBO,DONIHUE,1
ALGARROBO,EL BOSQUE,15
ALGARROBO,EL CARMEN,1
ALGARROBO,EL MONTE,2
ALGARROBO,EL QUISCO,255
ALGARROBO,EL TABO,43
ALGARROBO,ESTACION CENTRAL,19
ALGARROBO,FREIRE,3
ALGARROBO,FRUTILLAR,5
ALGARROBO,FUTALEUFU,1
ALGARROBO,FUTRONO,7
ALGARROBO,GRANEROS,1
ALGARROBO,HUALAIHUE,1
ALGARROBO,HUALPEN,6
ALGARROBO,HUALQUI,1
ALGARROBO,HUECHURABA,8
ALGARROBO,INDEPENDENCIA,22
ALGARROBO,IQUIQUE,5
ALGARROBO,ISLA DE MAIPO,3
ALGARROBO,LA CISTERNA,13
ALGARROBO,LA CRUZ,2
ALGARROBO,LA FLORIDA,62
ALGARROBO,LA GRANJA,6
ALGARROBO,LA LIGUA,2
ALGARROBO,LA PINTANA,10
ALGARROBO,LA REINA,26
ALGARROBO,LA SERENA,11
ALGARROBO,LAGO RANCO,1
ALGARROBO,LAMPA,22
ALGARROBO,LANCO,3
ALGARROBO,LAS CABRAS,5
ALGARROBO,LAS CONDES,57
ALGARROBO,LAUTARO,1
ALGARROBO,LEBU,1
ALGARROBO,LIMACHE,19
ALGARROBO,LINARES,2
ALGARROBO,LITUECHE,1
ALGARROBO,LLAILLAY,2
ALGARROBO,LO BARNECHEA,8
ALGARROBO,LO ESPEJO,11
ALGARROBO,LO PRADO,12
ALGARROBO,LONCOCHE,5
ALGARROBO,LOS ALAMOS,1
ALGARROBO,LOS ANDES,6
ALGARROBO,LOS ANGELES,5
ALGARROBO,LOS VILOS,3
ALGARROBO,MACHALI,8
ALGARROBO,MACUL,30
ALGARROBO,MAIPU,43
ALGARROBO,MALLOA,4
ALGARROBO,MARCHIHUE,2
ALGARROBO,MARIA PINTO,4
ALGARROBO,MAULE,2
ALGARROBO,MAULLIN,4
ALGARROBO,MELIPILLA,16
