origin,dest,count
ALHUE,ALHUE,5784
ANTOFAGASTA,BUIN,106
ANTOFAGASTA,COLINA,370
ANTOFAGASTA,CONCHALI,113
ANTOFAGASTA,EL BOSQUE,130
ANTOFAGASTA,ESTACION CENTRAL,231
ANTOFAGASTA,HUECHURABA,174
ANTOFAGASTA,INDEPENDENCIA,153
ANTOFAGASTA,LA FLORIDA,315
ANTOFAGASTA,LA REINA,202
ANTOFAGASTA,LAMPA,111
ANTOFAGASTA,LAS CONDES,1059
ANTOFAGASTA,LO BARNECHEA,126
ANTOFAGASTA,MACUL,162
ANTOFAGASTA,MAIPU,345
ANTOFAGASTA,NUNOA,782
ANTOFAGASTA,PENALOLEN,169
ANTOFAGASTA,PROVIDENCIA,585
ANTOFAGASTA,PUDAHUEL,124
ANTOFAGASTA,PUENTE ALTO,260
ANTOFAGASTA,RECOLETA,116
ANTOFAGASTA,SAN BERNARDO,163
ANTOFAGASTA,SAN MIGUEL,213
ANTOFAGASTA,SANTIAGO,1290
ARICA,ESTACION CENTRAL,173
ARICA,LA FLORIDA,234
ARICA,LA REINA,138
ARICA,LAS CONDES,392
ARICA,MACUL,117
ARICA,MAIPU,205
ARICA,NUNOA,283
ARICA,PROVIDENCIA,218
ARICA,PUENTE ALTO,187
ARICA,RECOLETA,103
ARICA,SAN BERNARDO,101
ARICA,SAN MIGUEL,124
ARICA,SANTIAGO,860
AYSEN,SANTIAGO,112
BUIN,BUIN,84668
BUIN,EL BOSQUE,180
BUIN,ESTACION CENTRAL,161
BUIN,LA CISTERNA,151
BUIN,LA FLORIDA,319
BUIN,LAS CONDES,278
BUIN,MACUL,112
BUIN,MAIPU,215
BUIN,NUNOA,271
BUIN,PAINE,1723
BUIN,PROVIDENCIA,160
BUIN,PUENTE ALTO,417
BUIN,SAN BERNARDO,725
BUIN,SAN MIGUEL,292
BUIN,SANTIAGO,648
CALAMA,COLINA,130
CALAMA,ESTACION CENTRAL,121
CALAMA,LA FLORIDA,124
CALAMA,LAS CONDES,228
CALAMA,MAIPU,102
CALAMA,NUNOA,295
CALAMA,PROVIDENCIA,205
CALAMA,SANTIAGO,753
CALERA DE TANGO,CALERA DE TANGO,20149
CALERA DE TANGO,LAS CONDES,217
CALERA DE TANGO,MAIPU,148
CALERA DE TANGO,NUNOA,125
CALERA DE TANGO,PADRE HURTADO,154
CALERA DE TANGO,PENAFLOR,155
CALERA DE TANGO,PROVIDENCIA,108
CALERA DE TANGO,SAN BERNARDO,391
CALERA DE TANGO,SANTIAGO,137
CALERA DE TANGO,TALAGANTE,234
CARTAGENA,PUENTE ALTO,103
CASTRO,SANTIAGO,147
CERRILLOS,BUIN,218
CERRILLOS,CERRILLOS,58986
CERRILLOS,COLINA,134
CERRILLOS,EL BOSQUE,124
CERRILLOS,ESTACION CENTRAL,832
CERRILLOS,INDEPENDENCIA,113
CERRILLOS,LA CISTERNA,220
CERRILLOS,LA FLORIDA,309
CERRILLOS,LA PINTANA,115
CERRILLOS,LAMPA,171
CERRILLOS,LAS CONDES,110
CERRILLOS,LO ESPEJO,235
CERRILLOS,LO PRADO,125
CERRILLOS,MACUL,119
CERRILLOS,MAIPU,2740
CERRILLOS,MELIPILLA,123
CERRILLOS,NUNOA,252
CERRILLOS,PADRE HURTADO,657
CERRILLOS,PEDRO AGUIRRE CERDA,337
CERRILLOS,PENAFLOR,237
CERRILLOS,PENALOLEN,139
CERRILLOS,PROVIDENCIA,121
CERRILLOS,PUDAHUEL,384
CERRILLOS,PUENTE ALTO,293
CERRILLOS,QUILICURA,109
CERRILLOS,QUINTA NORMAL,153
CERRILLOS,RECOLETA,103
CERRILLOS,RENCA,141
CERRILLOS,SAN BERNARDO,314
CERRILLOS,SAN MIGUEL,365
CERRILLOS,SANTIAGO,894
CERRILLOS,TALAGANTE,135
CERRO NAVIA,BUIN,182
CERRO NAVIA,CERRILLOS,342
CERRO NAVIA,CERRO NAVIA,102849
CERRO NAVIA,COLINA,289
CERRO NAVIA,CONCHALI,191
CERRO NAVIA,CURACAVI,101
CERRO NAVIA,EL BOSQUE,152
CERRO NAVIA,ESTACION CENTRAL,707
CERRO NAVIA,INDEPENDENCIA,243
CERRO NAVIA,LA CISTERNA,153
CERRO NAVIA,LA FLORIDA,323
CERRO NAVIA,LA PINTANA,193
CERRO NAVIA,LAMPA,904
CERRO NAVIA,LO PRADO,1130
CERRO NAVIA,MACUL,121
CERRO NAVIA,MAIPU,1253
CERRO NAVIA,MELIPILLA,195
CERRO NAVIA,NUNOA,175
CERRO NAVIA,PADRE HURTADO,245
CERRO NAVIA,PENAFLOR,106
CERRO NAVIA,PENALOLEN,171
CERRO NAVIA,PUDAHUEL,2751
CERRO NAVIA,PUENTE ALTO,640
CERRO NAVIA,QUILICURA,738
CERRO NAVIA,QUINTA NORMAL,1723
CERRO NAVIA,RECOLETA,224
CERRO NAVIA,RENCA,1558
CERRO NAVIA,SAN BERNARDO,334
CERRO NAVIA,SAN JOAQUIN,114
CERRO NAVIA,SAN MIGUEL,249
CERRO NAVIA,SANTIAGO,1461
CHIGUAYANTE,LAS CONDES,137
CHILLAN,ESTACION CENTRAL,135
CHILLAN,LA FLORIDA,169
CHILLAN,LAS CONDES,332
CHILLAN,MAIPU,172
CHILLAN,NUNOA,271
CHILLAN,PENALOLEN,101
CHILLAN,PROVIDENCIA,209
CHILLAN,PUENTE ALTO,172
CHILLAN,SAN BERNARDO,119
CHILLAN,SAN MIGUEL,103
CHILLAN,SANTIAGO,494
COLINA,COLINA,124177
COLINA,CONCHALI,348
COLINA,EL BOSQUE,111
COLINA,ESTACION CENTRAL,212
COLINA,HUECHURABA,360
COLINA,INDEPENDENCIA,302
COLINA,LA FLORIDA,199
COLINA,LA REINA,174
COLINA,LAMPA,888
COLINA,LAS CONDES,1491
COLINA,LO BARNECHEA,591
COLINA,MACUL,124
COLINA,MAIPU,249
COLINA,NUNOA,498
COLINA,PENALOLEN,155
COLINA,PROVIDENCIA,516
COLINA,PUDAHUEL,143
COLINA,PUENTE ALTO,274
COLINA,QUILICURA,308
COLINA,QUINTA NORMAL,123
COLINA,RECOLETA,311
COLINA,RENCA,143
COLINA,SAN BERNARDO,119
COLINA,SAN MIGUEL,197
COLINA,SANTIAGO,950
COLINA,TILTIL,175
COLINA,VITACURA,772
CONCEPCION,COLINA,142
CONCEPCION,ESTACION CENTRAL,203
CONCEPCION,LA FLORIDA,301
CONCEPCION,LAS CONDES,833
CONCEPCION,MACUL,145
CONCEPCION,MAIPU,207
CONCEPCION,NUNOA,734
CONCEPCION,PENALOLEN,111
CONCEPCION,PROVIDENCIA,622
CONCEPCION,PUENTE ALTO,212
CONCEPCION,QUILICURA,117
CONCEPCION,RECOLETA,106
CONCEPCION,SAN BERNARDO,146
CONCEPCION,SAN MIGUEL,197
CONCEPCION,SANTIAGO,1195
CONCEPCION,VITACURA,146
CONCHALI,BUIN,175
CONCHALI,CERRILLOS,154
CONCHALI,CERRO NAVIA,202
CONCHALI,COLINA,993
CONCHALI,CONCHALI,95028
CONCHALI,EL BOSQUE,165
CONCHALI,ESTACION CENTRAL,415
CONCHALI,HUECHURABA,1030
CONCHALI,INDEPENDENCIA,1719
CONCHALI,LA CISTERNA,161
CONCHALI,LA FLORIDA,387
CONCHALI,LA PINTANA,173
CONCHALI,LAMPA,2366
CONCHALI,LAS CONDES,119
CONCHALI,LO PRADO,162
CONCHALI,MACUL,177
CONCHALI,MAIPU,629
CONCHALI,MELIPILLA,106
CONCHALI,NUNOA,366
CONCHALI,PEDRO AGUIRRE CERDA,127
CONCHALI,PENALOLEN,167
CONCHALI,PROVIDENCIA,157
CONCHALI,PUDAHUEL,336
CONCHALI,PUENTE ALTO,563
CONCHALI,QUILICURA,2266
CONCHALI,QUINTA NORMAL,355
CONCHALI,RECOLETA,1500
CONCHALI,RENCA,752
CONCHALI,SAN BERNARDO,319
CONCHALI,SAN JOAQUIN,138
CONCHALI,SAN MIGUEL,350
CONCHALI,SANTIAGO,1552
CONCHALI,TILTIL,102
CONCON,LAS CONDES,389
CONCON,NUNOA,133
CONCON,PROVIDENCIA,114
CONCON,SANTIAGO,107
COPIAPO,LA FLORIDA,103
COPIAPO,LAS CONDES,246
COPIAPO,NUNOA,262
COPIAPO,PROVIDENCIA,176
COPIAPO,PUENTE ALTO,103
COPIAPO,SANTIAGO,544
COQUIMBO,LA FLORIDA,154
COQUIMBO,LAS CONDES,223
COQUIMBO,MAIPU,147
COQUIMBO,NUNOA,230
COQUIMBO,PROVIDENCIA,145
COQUIMBO,PUENTE ALTO,151
COQUIMBO,SANTIAGO,478
COYHAIQUE,LAS CONDES,147
COYHAIQUE,NUNOA,126
COYHAIQUE,PROVIDENCIA,112
COYHAIQUE,SANTIAGO,270
CURACAVI,CURACAVI,28043
CURACAVI,MAIPU,113
CURACAVI,MARIA PINTO,189
CURACAVI,SANTIAGO,205
CURICO,ESTACION CENTRAL,123
CURICO,LA FLORIDA,136
CURICO,LAS CONDES,358
CURICO,MAIPU,117
CURICO,NUNOA,235
CURICO,PROVIDENCIA,216
CURICO,PUENTE ALTO,154
CURICO,SAN MIGUEL,122
CURICO,SANTIAGO,607
EL BOSQUE,BUIN,836
EL BOSQUE,CALERA DE TANGO,113
EL BOSQUE,CERRILLOS,246
EL BOSQUE,CERRO NAVIA,117
EL BOSQUE,COLINA,176
EL BOSQUE,CONCHALI,160
EL BOSQUE,EL BOSQUE,123316
EL BOSQUE,ESTACION CENTRAL,241
EL BOSQUE,INDEPENDENCIA,146
EL BOSQUE,LA CISTERNA,2121
EL BOSQUE,LA FLORIDA,736
EL BOSQUE,LA GRANJA,361
EL BOSQUE,LA PINTANA,1527
EL BOSQUE,LAMPA,255
EL BOSQUE,LAS CONDES,146
EL BOSQUE,LO ESPEJO,300
EL BOSQUE,MACUL,189
EL BOSQUE,MAIPU,665
EL BOSQUE,MELIPILLA,168
EL BOSQUE,NUNOA,311
EL BOSQUE,PADRE HURTADO,181
EL BOSQUE,PAINE,291
EL BOSQUE,PEDRO AGUIRRE CERDA,224
EL BOSQUE,PENAFLOR,191
EL BOSQUE,PENALOLEN,205
EL BOSQUE,PROVIDENCIA,129
EL BOSQUE,PUDAHUEL,178
EL BOSQUE,PUENTE ALTO,1295
EL BOSQUE,QUILICURA,164
EL BOSQUE,QUINTA NORMAL,121
EL BOSQUE,RECOLETA,158
EL BOSQUE,RENCA,138
EL BOSQUE,SAN BERNARDO,5725
EL BOSQUE,SAN JOAQUIN,161
EL BOSQUE,SAN MIGUEL,1041
EL BOSQUE,SAN RAMON,475
EL BOSQUE,SANTIAGO,1239
EL BOSQUE,TALAGANTE,110
EL MONTE,EL MONTE,30673
EL MONTE,ISLA DE MAIPO,110
EL MONTE,MAIPU,124
EL MONTE,MELIPILLA,326
EL MONTE,PENAFLOR,141
EL MONTE,SANTIAGO,152
EL MONTE,TALAGANTE,708
ESTACION CENTRAL,BUIN,402
ESTACION CENTRAL,CERRILLOS,2161
ESTACION CENTRAL,CERRO NAVIA,371
ESTACION CENTRAL,COLINA,366
ESTACION CENTRAL,CONCHALI,320
ESTACION CENTRAL,EL BOSQUE,303
ESTACION CENTRAL,ESTACION CENTRAL,102956
ESTACION CENTRAL,HUECHURABA,181
ESTACION CENTRAL,INDEPENDENCIA,790
