id,lat,lon,name
IQUIQUE,-20.92558529662486,-70.04815776850246,IQUIQUE
ALTO HOSPICIO,-20.189747742153752,-70.0126387329233,ALTO HOSPICIO
POZO ALMONTE,-20.77220516312976,-69.5079710177027,POZO ALMONTE
CAMINA,-19.369994869958557,-69.50113130836283,CAMINA
COLCHANE,-19.354457407617584,-68.84498062495041,COLCHANE
HUARA,-19.60166615463467,-69.66338703281252,HUARA
PICA,-20.480825786145452,-68.91305557062627,PICA
ANTOFAGASTA,-24.278214802948057,-69.4053067353665,ANTOFAGASTA
MEJILLONES,-22.947210345727516,-70.2030330157286,MEJILLONES
SIERRA GORDA,-23.260294672573973,-69.30886066005928,SIERRA GORDA
TALTAL,-25.310214545338265,-69.86196150868122,TALTAL
CALAMA,-22.169481194681882,-68.62672463648121,CALAMA
OLLAGUE,-21.45715147426865,-68.31534777603925,OLLAGUE
SAN PEDRO DE ATACAMA,-23.406647352644327,-67.90887767045409,SAN PEDRO DE ATACAMA
TOCOPILLA,-21.998244694373355,-70.02138982634189,TOCOPILLA
MARIA ELENA,-22.095303839907398,-69.46807627842985,MARIA ELENA
COPIAPO,-27.3170762034228,-69.82278604601198,COPIAPO
CALDERA,-27.140565012461796,-70.68229839747815,CALDERA
TIERRA AMARILLA,-27.863145465349554,-69.6704349561109,TIERRA AMARILLA
CHANARAL,-26.37308981967261,-70.33764405960233,CHANARAL
DIEGO DE ALMAGRO,-26.232673326305992,-69.18831819695096,DIEGO DE ALMAGRO
VALLENAR,-28.594586417028452,-70.60310859437215,VALLENAR
ALTO DEL CARMEN,-28.99036979986536,-70.15644059813424,ALTO DEL CARMEN
FREIRINA,-28.813748449774046,-71.17885066226701,FREIRINA
HUASCO,-28.250186952954984,-71.02957356025833,HUASCO
LA SERENA,-29.789017010957487,-71.06060894879104,LA SERENA
COQUIMBO,-30.227438108745183,-71.35845810459567,COQUIMBO
ANDACOLLO,-30.259220398964768,-71.10064208174657,ANDACOLLO
LA HIGUERA,-29.37538169491453,-70.90157473980365,LA HIGUERA
PAIHUANO,-30.234375198778515,-70.37204138915419,PAIHUANO
VICUNA,-29.89176751922595,-70.38227979986718,VICUNA
ILLAPEL,-31.549255483819994,-70.97082912882432,ILLAPEL
CANELA,-31.40169307477558,-71.39458054704227,CANELA
LOS VILOS,-31.978071183653572,-71.30383091492632,LOS VILOS
SALAMANCA,-31.893293201531026,-70.66149770580117,SALAMANCA
OVALLE,-30.672783556997583,-71.40517280725409,OVALLE
COMBARBALA,-31.146550030900205,-70.96565976700875,COMBARBALA
MONTE PATRIA,-30.83446068537002,-70.65045618520647,MONTE PATRIA
PUNITAQUI,-30.94595594592086,-71.33290106189173,PUNITAQUI
RIO HURTADO,-30.43033727515107,-70.65393601552296,RIO HURTADO
VALPARAISO,-33.0068050005809,-71.72448217307313,VALPARAISO
CASABLANCA,-33.31566066714776,-71.4348295632439,CASABLANCA
CONCON,-32.95156503726408,-71.46742855517759,CONCON
JUAN FERNANDEZ,-33.70984907582211,-79.85407555737885,JUAN FERNANDEZ
PUCHUNCAVI,-32.74505431751544,-71.38778008091171,PUCHUNCAVI
QUINTERO,-32.84191054771277,-71.47288990982474,QUINTERO
VINA DEL MAR,-33.027477164859455,-71.51544262081815,VINA DEL MAR
ISLA DE PASCUA,-27.118879932084532,-109.35105900147866,ISLA DE PASCUA
LOS ANDES,-32.9505118281434,-70.24294144772023,LOS ANDES
CALLE LARGA,-32.95031000069764,-70.54407029824232,CALLE LARGA
RINCONADA,-32.87610366624876,-70.70586138355692,RINCONADA
SAN ESTEBAN,-32.68644509935754,-70.34830976088328,SAN ESTEBAN
LA LIGUA,-32.353817359436896,-71.2712650097807,LA LIGUA
CABILDO,-32.41703356725995,-70.82344937345,CABILDO
PAPUDO,-32.47476350048521,-71.38041100892212,PAPUDO
PETORCA,-32.19040862684703,-70.86990578113311,PETORCA
ZAPALLAR,-32.58719268036722,-71.33610485997333,ZAPALLAR
QUILLOTA,-32.90444016156681,-71.2719698442651,QUILLOTA
CALERA,-32.79344026521509,-71.15671177908096,CALERA
HIJUELAS,-32.86890762641902,-71.08102025765757,HIJUELAS
LA CRUZ,-32.82490431912943,-71.24065191897165,LA CRUZ
NOGALES,-32.691137752350755,-71.17632584058845,NOGALES
SAN ANTONIO,-33.664641743020184,-71.48877501024164,SAN ANTONIO
ALGARROBO,-33.32941617819222,-71.59937690806436,ALGARROBO
CARTAGENA,-33.53336995646841,-71.44210375839369,CARTAGENA
EL QUISCO,-33.41517963126654,-71.65162247587386,EL QUISCO
EL TABO,-33.48248675488386,-71.58075016481814,EL TABO
SANTO DOMINGO,-33.80928960664109,-71.67594095636187,SANTO DOMINGO
SAN FELIPE,-32.73605592823914,-70.7525800284149,SAN FELIPE
CATEMU,-32.70694510709348,-70.9446301201916,CATEMU
LLAILLAY,-32.88774092067871,-70.9015459014619,LLAILLAY
PANQUEHUE,-32.79319450612612,-70.82855040743277,PANQUEHUE
PUTAENDO,-32.48118386408258,-70.52154854323204,PUTAENDO
SANTA MARIA,-32.68572291822643,-70.60958946483895,SANTA MARIA
QUILPUE,-33.146966587403604,-71.25407146092783,QUILPUE
LIMACHE,-33.03052395284049,-71.27861930896157,LIMACHE
OLMUE,-33.035449608935515,-71.11035707931973,OLMUE
VILLA ALEMANA,-33.0672080172705,-71.32973473663309,VILLA ALEMANA
RANCAGUA,-34.12586229493211,-70.81667165914072,RANCAGUA
CODEGUA,-34.05683829534621,-70.54715595842703,CODEGUA
COINCO,-34.282360490458,-70.97116452792963,COINCO
COLTAUCO,-34.25955698383783,-71.07759264620263,COLTAUCO
DONIHUE,-34.1964768253671,-70.92366673668336,DONIHUE
GRANEROS,-34.0655934736459,-70.74720789399723,GRANEROS
LAS CABRAS,-34.1646669735884,-71.33245148816856,LAS CABRAS
MACHALI,-34.32054832746359,-70.31913000179051,MACHALI
MALLOA,-34.47653962859923,-70.8726306922448,MALLOA
MOSTAZAL,-33.95554309620462,-70.56895280877224,MOSTAZAL
OLIVAR,-34.212644462741736,-70.82182200097188,OLIVAR
PEUMO,-34.32922746327923,-71.22213313366878,PEUMO
PICHIDEGUA,-34.37163352350916,-71.33903740898704,PICHIDEGUA
QUINTA DE TILCOCO,-34.35917431573161,-70.99815089443672,QUINTA DE TILCOCO
RENGO,-34.45490697961,-70.7181662265954,RENGO
REQUINOA,-34.33526575373728,-70.65849648456354,REQUINOA
SAN VICENTE,-34.47754215021551,-71.1232658005401,SAN VICENTE
PICHILEMU,-34.383725132104544,-71.91092075011981,PICHILEMU
LA ESTRELLA,-34.22322910600744,-71.60205841321917,LA ESTRELLA
LITUECHE,-34.10586625044147,-71.73119335999075,LITUECHE
MARCHIHUE,-34.37268103438395,-71.67184314935662,MARCHIHUE
NAVIDAD,-34.01306175981082,-71.82103609280296,NAVIDAD
PAREDONES,-34.67325716732587,-71.91172165106003,PAREDONES
SAN FERNANDO,-34.74356855273616,-70.60285699819148,SAN FERNANDO
CHEPICA,-34.79195487902072,-71.36037107540311,CHEPICA
CHIMBARONGO,-34.75184255851942,-70.980860062222,CHIMBARONGO
LOLOL,-34.768000250397385,-71.64887824494693,LOLOL
NANCAGUA,-34.66768467083655,-71.19223618424972,NANCAGUA
PALMILLA,-34.52793792610733,-71.35303950852482,PALMILLA
PERALILLO,-34.46597425702711,-71.49694591465031,PERALILLO
PLACILLA,-34.619047756486175,-71.08659413155506,PLACILLA
PUMANQUE,-34.595816533877695,-71.69205298873534,PUMANQUE
SANTA CRUZ,-34.6429344233624,-71.40220796003337,SANTA CRUZ
TALCA,-35.427814657057276,-71.6025104483053,TALCA
CONSTITUCION,-35.36324090644225,-72.27614066977371,CONSTITUCION
CUREPTO,-35.1300490287025,-71.95320901336115,CUREPTO
EMPEDRADO,-35.61335062872993,-72.28458747111053,EMPEDRADO
MAULE,-35.50883865569115,-71.71344254781168,MAULE
PELARCO,-35.382960971649574,-71.35022067160115,PELARCO
PENCAHUE,-35.32753363215075,-71.81660480794993,PENCAHUE
RIO CLARO,-35.259942500492166,-71.27065317338634,RIO CLARO
SAN CLEMENTE,-35.711977958523896,-70.84847193488432,SAN CLEMENTE
SAN RAFAEL,-35.302315527594295,-71.50110857464269,SAN RAFAEL
CAUQUENES,-35.971241837506135,-72.28098560156549,CAUQUENES
CHANCO,-35.698739766526984,-72.48582817838734,CHANCO
PELLUHUE,-35.911435426687326,-72.60824957722993,PELLUHUE
CURICO,-35.199167280801575,-70.89545839906992,CURICO
HUALANE,-34.95286177336829,-71.70900636316517,HUALANE
LICANTEN,-34.97360368499668,-72.05965290479863,LICANTEN
MOLINA,-35.35272952363916,-70.91038909989302,MOLINA
RAUCO,-34.938681016030706,-71.426774761326,RAUCO
ROMERAL,-35.06804231584138,-70.71192816100998,ROMERAL
SAGRADA FAMILIA,-35.10394599940361,-71.49579405998489,SAGRADA FAMILIA
TENO,-34.887976738219606,-71.02214598961388,TENO
VICHUQUEN,-34.841083758302,-72.02310773033989,VICHUQUEN
LINARES,-35.958440955999336,-71.33297121792283,LINARES
COLBUN,-36.077123014345545,-70.97880167945378,COLBUN
LONGAVI,-36.11071134627809,-71.4415626854172,LONGAVI
PARRAL,-36.262034749148505,-71.6459256684808,PARRAL
RETIRO,-36.0021000749118,-71.83000548899062,RETIRO
SAN JAVIER,-35.629348340464475,-71.92778319516127,SAN JAVIER
VILLA ALEGRE,-35.68568610379475,-71.6832122842133,VILLA ALEGRE
YERBAS BUENAS,-35.68890857746336,-71.54405676759507,YERBAS BUENAS
CONCEPCION,-36.834285034353435,-72.94924686531462,CONCEPCION
CORONEL,-37.007545381125695,-73.1269610680044,CORONEL
CHIGUAYANTE,-36.90048805502656,-72.99861166034788,CHIGUAYANTE
FLORIDA,-36.822230669767855,-72.71776203113919,FLORIDA
HUALQUI,-37.044552759960915,-72.8701068287799,HUALQUI
LOTA,-37.11952310604159,-73.10502031489402,LOTA
PENCO,-36.74782596526804,-72.94343151744748,PENCO
SAN PEDRO DE LA PAZ,-36.885486394977455,-73.10116323863635,SAN PEDRO DE LA PAZ
SANTA JUANA,-37.27603073379774,-72.95984291753659,SANTA JUANA
TALCAHUANO,-36.71556714263737,-73.09904756679127,TALCAHUANO
TOME,-36.616473064345016,-72.85823531733945,TOME
HUALPEN,-36.785166312335164,-73.14402651148566,HUALPEN
LEBU,-37.675244038286074,-73.58957147910787,LEBU
ARAUCO,-37.288468108238135,-73.39917361573629,ARAUCO
CANETE,-37.87335800736697,-73.31745992254744,CANETE
CONTULMO,-38.05256428080108,-73.21195558744272,CONTULMO
CURANILAHUE,-37.48302272720236,-73.23440090170709,CURANILAHUE
LOS ALAMOS,-37.67324605025494,-73.35706264158145,LOS ALAMOS
TIRUA,-38.296809907010626,-73.39463375149003,TIRUA
LOS ANGELES,-37.40723308389502,-72.32740360971076,LOS ANGELES
ANTUCO,-37.327723123872296,-71.36642908897966,ANTUCO
CABRERO,-37.06174551111741,-72.38135331163795,CABRERO
LAJA,-37.31243797874173,-72.58202791268114,LAJA
MULCHEN,-37.83829863058535,-72.0968073318555,MULCHEN
NACIMIENTO,-37.484566898501974,-72.82223329989736,NACIMIENTO
NEGRETE,-37.60779478771151,-72.5759701550298,NEGRETE
QUILACO,-37.96066401342121,-71.70510182001848,QUILACO
QUILLECO,-37.43653443847436,-71.86134959834006,QUILLECO
SAN ROSENDO,-37.212977017994525,-72.72066006101703,SAN ROSENDO
SANTA BARBARA,-37.62137145862341,-71.74932394491637,SANTA BARBARA
TUCAPEL,-37.22517089811239,-71.7442848481477,TUCAPEL
YUMBEL,-37.088392024415825,-72.61620188385805,YUMBEL
ALTO BIOBIO,-37.86524228610873,-71.34867549335134,ALTO BIOBIO
TEMUCO,-38.67301522598972,-72.66787344310605,TEMUCO
CARAHUE,-38.61049133563904,-73.26915633171707,CARAHUE
CUNCO,-38.97721895796344,-71.9923452077078,CUNCO
CURARREHUE,-39.33657171616284,-71.53950033090166,CURARREHUE
FREIRE,-38.95490320745049,-72.58851898845512,FREIRE
GALVARINO,-38.44792614541167,-72.79195817966564,GALVARINO
GORBEA,-39.171751739777264,-72.66983371075158,GORBEA
LAUTARO,-38.54313447855098,-72.2887496984119,LAUTARO
LONCOCHE,-39.35604679423677,-72.5828055636267,LONCOCHE
MELIPEUCO,-38.824897090970644,-71.61072348986518,MELIPEUCO
NUEVA IMPERIAL,-38.751938605641335,-72.97175440197702,NUEVA IMPERIAL
PADRE LAS CASAS,-38.80216103803747,-72.5552717984984,PADRE LAS CASAS
PERQUENCO,-38.4279917660338,-72.43658497549822,PERQUENCO
PITRUFQUEN,-39.08385362525478,-72.66372832996706,PITRUFQUEN
PUCON,-39.271214929677015,-71.79240443710682,PUCON
SAAVEDRA,-38.83311178145141,-73.29394691446485,SAAVEDRA
TEODORO SCHMIDT,-39.00473396238744,-73.12782894322798,TEODORO SCHMIDT
TOLTEN,-39.2169287284293,-73.06549159647956,TOLTEN
VILCUN,-38.70453902237687,-72.116543567141,VILCUN
VILLARRICA,-39.3004853866178,-72.18393449765466,VILLARRICA
CHOLCHOL,-38.58311468770905,-72.90303034821842,CHOLCHOL
ANGOL,-37.76816897068209,-72.79576352045571,ANGOL
COLLIPULLI,-38.0260348695471,-72.12442745067227,COLLIPULLI
CURACAUTIN,-38.427156350566975,-71.77191985860651,CURACAUTIN
ERCILLA,-38.08257929173777,-72.3527557750013,ERCILLA
LONQUIMAY,-38.47444946867957,-71.23917402771362,LONQUIMAY
LOS SAUCES,-37.982519487409476,-72.79657008240589,LOS SAUCES
LUMACO,-38.286644935971594,-73.04583769592207,LUMACO
PUREN,-38.01161820000218,-73.04997363148833,PUREN
RENAICO,-37.717467222408466,-72.57555589201196,RENAICO
TRAIGUEN,-38.24662408822687,-72.65494423726896,TRAIGUEN
VICTORIA,-38.28034780504352,-72.23340416082011,VICTORIA
PUERTO MONTT,-41.48821785116282,-72.79550710365493,PUERTO MONTT
CALBUCO,-41.72240329979278,-73.19538311016598,CALBUCO
COCHAMO,-41.76033022531924,-72.09180922489598,COCHAMO
FRESIA,-41.15384917617943,-73.60486486977162,FRESIA
FRUTILLAR,-41.086735937142095,-73.0946567094398,FRUTILLAR
LOS MUERMOS,-41.396341117331154,-73.58076979257454,LOS MUERMOS
LLANQUIHUE,-41.23739845677694,-73.13319857730895,LLANQUIHUE
MAULLIN,-41.63608578112857,-73.50278856887194,MAULLIN
PUERTO VARAS,-41.191287922137015,-72.38799064585253,PUERTO VARAS
CASTRO,-42.47338830899638,-73.80359201123659,CASTRO
ANCUD,-42.01855586277829,-73.799127796953,ANCUD
CHONCHI,-42.68163876459801,-73.93058244889595,CHONCHI
CURACO DE VELEZ,-42.42598062252035,-73.57885836208467,CURACO DE VELEZ
DALCAHUE,-42.30928245454324,-73.83537679267761,DALCAHUE
PUQUELDON,-42.626261081014924,-73.63727061325324,PUQUELDON
QUEILEN,-42.85520401548085,-73.56505757130812,QUEILEN
QUELLON,-43.15025649051883,-73.99446369767256,QUELLON
QUEMCHI,-42.17747660070399,-73.41279817892809,QUEMCHI
QUINCHAO,-42.519960091820636,-73.35971529210613,QUINCHAO
OSORNO,-40.611492025199496,-73.08654706174204,OSORNO
PUERTO OCTAY,-40.9328551004591,-72.59851513934778,PUERTO OCTAY
PURRANQUE,-40.93513922820704,-73.45653323528354,PURRANQUE
PUYEHUE,-40.7262960924892,-72.37907515216867,PUYEHUE
RIO NEGRO,-40.77056042117663,-73.41678554958031,RIO NEGRO
SAN JUAN DE LA COSTA,-40.508398230360015,-73.55893435165541,SAN JUAN DE LA COSTA
SAN PABLO,-40.426859323383944,-73.16126566814914,SAN PABLO
CHAITEN,-43.093574647394206,-72.57627657961126,CHAITEN
FUTALEUFU,-43.180317856487406,-72.00731412417164,FUTALEUFU
HUALAIHUE,-42.17782146672688,-72.37641084181466,HUALAIHUE
PALENA,-43.683081897821,-71.98397324527488,PALENA
COYHAIQUE,-45.55459079188488,-71.99218897656849,COYHAIQUE
