origin,dest,count
ALTO HOSPICIO,IQUIQUE,3106
ANTOFAGASTA,ARICA,1083
ANTOFAGASTA,CALAMA,1519
ANTOFAGASTA,COQUIMBO,2894
ANTOFAGASTA,IQUIQUE,980
ANTOFAGASTA,LA SERENA,3468
ANTOFAGASTA,LAS CONDES,1059
ANTOFAGASTA,OVALLE,902
ANTOFAGASTA,SANTIAGO,1290
ANTOFAGASTA,VINA DEL MAR,871
ARICA,ANTOFAGASTA,1077
ARICA,IQUIQUE,917
ARICA,SANTIAGO,860
BUIN,PAINE,1723
CALAMA,ANTOFAGASTA,3435
CALAMA,ARICA,861
CALAMA,COQUIMBO,1870
CALAMA,LA SERENA,2206
CALBUCO,PUERTO MONTT,825
CALERA,LA CRUZ,1023
CALERA,QUILLOTA,837
CARTAGENA,SAN ANTONIO,921
CERRILLOS,ESTACION CENTRAL,832
CERRILLOS,MAIPU,2740
CERRILLOS,SANTIAGO,894
CERRO NAVIA,LAMPA,904
CERRO NAVIA,LO PRADO,1130
CERRO NAVIA,MAIPU,1253
CERRO NAVIA,PUDAHUEL,2751
CERRO NAVIA,QUINTA NORMAL,1723
CERRO NAVIA,RENCA,1558
CERRO NAVIA,SANTIAGO,1461
CHIGUAYANTE,CONCEPCION,2081
CHIGUAYANTE,HUALQUI,1077
CHIGUAYANTE,SAN PEDRO DE LA PAZ,1146
CHILLAN,CHILLAN VIEJO,2224
CHILLAN,COIHUECO,1383
CHILLAN,CONCEPCION,1807
CHILLAN,SAN NICOLAS,896
CHILLAN VIEJO,CHILLAN,1287
COLINA,LAMPA,888
COLINA,LAS CONDES,1491
COLINA,SANTIAGO,950
CONCEPCION,CHIGUAYANTE,2844
CONCEPCION,CHILLAN,1486
CONCEPCION,CORONEL,933
CONCEPCION,FLORIDA,807
CONCEPCION,HUALPEN,2738
CONCEPCION,LAS CONDES,833
CONCEPCION,LOS ANGELES,1635
CONCEPCION,PENCO,1638
CONCEPCION,SAN PEDRO DE LA PAZ,6659
CONCEPCION,SANTIAGO,1195
CONCEPCION,TALCAHUANO,3112
CONCHALI,COLINA,993
CONCHALI,HUECHURABA,1030
CONCHALI,INDEPENDENCIA,1719
CONCHALI,LAMPA,2366
CONCHALI,QUILICURA,2266
CONCHALI,RECOLETA,1500
CONCHALI,SANTIAGO,1552
CONCON,VINA DEL MAR,1826
CONSTITUCION,TALCA,871
COPIAPO,CALDERA,997
COPIAPO,COQUIMBO,1475
COPIAPO,LA SERENA,2129
COQUIMBO,LA SERENA,4935
CORONEL,CONCEPCION,1107
CORONEL,SAN PEDRO DE LA PAZ,2470
CURICO,MOLINA,910
CURICO,ROMERAL,1060
CURICO,TALCA,1087
CURICO,TENO,895
EL BOSQUE,BUIN,836
EL BOSQUE,LA CISTERNA,2121
EL BOSQUE,LA PINTANA,1527
EL BOSQUE,PUENTE ALTO,1295
EL BOSQUE,SAN BERNARDO,5725
