origin,dest,count
BUIN,PAINE,1723
BUIN,SAN BERNARDO,725
BUIN,SANTIAGO,648
CERRILLOS,ESTACION CENTRAL,832
CERRILLOS,MAIPU,2740
CERRILLOS,PADRE HURTADO,657
CERRILLOS,SANTIAGO,894
CERRO NAVIA,ESTACION CENTRAL,707
CERRO NAVIA,LAMPA,904
CERRO NAVIA,LO PRADO,1130
CERRO NAVIA,MAIPU,1253
CERRO NAVIA,PUDAHUEL,2751
CERRO NAVIA,PUENTE ALTO,640
CERRO NAVIA,QUILICURA,738
CERRO NAVIA,QUINTA NORMAL,1723
CERRO NAVIA,RENCA,1558
CERRO NAVIA,SANTIAGO,1461
COLINA,LAMPA,888
COLINA,LAS CONDES,1491
COLINA,LO BARNECHEA,591
COLINA,PROVIDENCIA,516
COLINA,SANTIAGO,950
COLINA,VITACURA,772
CONCHALI,COLINA,993
CONCHALI,HUECHURABA,1030
CONCHALI,INDEPENDENCIA,1719
CONCHALI,LAMPA,2366
CONCHALI,MAIPU,629
CONCHALI,PUENTE ALTO,563
CONCHALI,QUILICURA,2266
CONCHALI,RECOLETA,1500
CONCHALI,RENCA,752
CONCHALI,SANTIAGO,1552
EL BOSQUE,BUIN,836
EL BOSQUE,LA CISTERNA,2121
EL BOSQUE,LA FLORIDA,736
EL BOSQUE,LA PINTANA,1527
EL BOSQUE,MAIPU,665
EL BOSQUE,PUENTE ALTO,1295
EL BOSQUE,SAN BERNARDO,5725
EL BOSQUE,SAN MIGUEL,1041
EL BOSQUE,SANTIAGO,1239
EL MONTE,TALAGANTE,708
ESTACION CENTRAL,CERRILLOS,2161
ESTACION CENTRAL,INDEPENDENCIA,790
ESTACION CENTRAL,LA CISTERNA,669
ESTACION CENTRAL,LA FLORIDA,1130
ESTACION CENTRAL,LAMPA,702
ESTACION CENTRAL,LO PRADO,1018
ESTACION CENTRAL,MACUL,640
ESTACION CENTRAL,MAIPU,4567
ESTACION CENTRAL,NUNOA,1527
ESTACION CENTRAL,PADRE HURTADO,613
ESTACION CENTRAL,PROVIDENCIA,643
ESTACION CENTRAL,PUDAHUEL,1888
ESTACION CENTRAL,PUENTE ALTO,889
ESTACION CENTRAL,QUILICURA,591
ESTACION CENTRAL,QUINTA NORMAL,1498
ESTACION CENTRAL,RENCA,505
ESTACION CENTRAL,SAN BERNARDO,777
ESTACION CENTRAL,SAN MIGUEL,1679
ESTACION CENTRAL,SANTIAGO,5704
HUECHURABA,COLINA,1172
HUECHURABA,CONCHALI,587
HUECHURABA,LAMPA,1105
HUECHURABA,LAS CONDES,847
HUECHURABA,NUNOA,525
HUECHURABA,QUILICURA,931
HUECHURABA,RECOLETA,906
HUECHURABA,SANTIAGO,931
INDEPENDENCIA,COLINA,662
INDEPENDENCIA,CONCHALI,1967
INDEPENDENCIA,ESTACION CENTRAL,1174
INDEPENDENCIA,HUECHURABA,710
INDEPENDENCIA,LA FLORIDA,890
INDEPENDENCIA,LAMPA,1322
INDEPENDENCIA,MAIPU,888
INDEPENDENCIA,NUNOA,1022
INDEPENDENCIA,PUENTE ALTO,626
INDEPENDENCIA,QUILICURA,1660
INDEPENDENCIA,QUINTA NORMAL,898
INDEPENDENCIA,RECOLETA,2213
INDEPENDENCIA,RENCA,1153
INDEPENDENCIA,SAN MIGUEL,1100
INDEPENDENCIA,SANTIAGO,4688
ISLA DE MAIPO,TALAGANTE,515
LA CISTERNA,BUIN,549
LA CISTERNA,EL BOSQUE,1315
LA CISTERNA,LA FLORIDA,1077
LA CISTERNA,LA GRANJA,503
LA CISTERNA,MAIPU,777
LA CISTERNA,PUENTE ALTO,1081
LA CISTERNA,SAN BERNARDO,1417
LA CISTERNA,SAN MIGUEL,2098
LA CISTERNA,SAN RAMON,759
LA CISTERNA,SANTIAGO,1367
LA FLORIDA,BUIN,1180
LA FLORIDA,COLINA,614
LA FLORIDA,EL BOSQUE,592
LA FLORIDA,ESTACION CENTRAL,764
LA FLORIDA,LA CISTERNA,1144
LA FLORIDA,LA GRANJA,1569
LA FLORIDA,LA PINTANA,1133
LA FLORIDA,LA REINA,603
LA FLORIDA,LAMPA,641
LA FLORIDA,LAS CONDES,1148
LA FLORIDA,MACUL,2505
LA FLORIDA,MAIPU,1409
LA FLORIDA,NUNOA,3259
LA FLORIDA,PENALOLEN,3125
LA FLORIDA,PIRQUE,557
LA FLORIDA,PROVIDENCIA,1183
LA FLORIDA,PUDAHUEL,507
LA FLORIDA,PUENTE ALTO,12433
LA FLORIDA,SAN BERNARDO,1292
LA FLORIDA,SAN JOAQUIN,1078
LA FLORIDA,SAN MIGUEL,1680
LA FLORIDA,SANTIAGO,4034
LA GRANJA,LA CISTERNA,853
LA GRANJA,LA FLORIDA,2136
LA GRANJA,LA PINTANA,1560
LA GRANJA,MAIPU,503
LA GRANJA,PUENTE ALTO,2426
LA GRANJA,SAN BERNARDO,778
LA GRANJA,SAN JOAQUIN,546
LA GRANJA,SAN MIGUEL,646
LA GRANJA,SAN RAMON,784
LA GRANJA,SANTIAGO,1019
LA PINTANA,BUIN,555
LA PINTANA,EL BOSQUE,1438
LA PINTANA,LA CISTERNA,983
LA PINTANA,LA FLORIDA,1451
LA PINTANA,LA GRANJA,1219
LA PINTANA,MAIPU,540
LA PINTANA,PUENTE ALTO,3979
