id,lat,lon,name
IQUIQUE,-20.92558529662486,-70.04815776850246,IQUIQUE
ALTO HOSPICIO,-20.189747742153752,-70.0126387329233,ALTO HOSPICIO
ANTOFAGASTA,-24.278214802948057,-69.4053067353665,ANTOFAGASTA
CALAMA,-22.169481194681882,-68.62672463648121,CALAMA
COPIAPO,-27.3170762034228,-69.82278604601198,COPIAPO
LA SERENA,-29.789017010957487,-71.06060894879104,LA SERENA
COQUIMBO,-30.227438108745183,-71.35845810459567,COQUIMBO
OVALLE,-30.672783556997583,-71.40517280725409,OVALLE
VALPARAISO,-33.0068050005809,-71.72448217307313,VALPARAISO
CONCON,-32.95156503726408,-71.46742855517759,CONCON
QUINTERO,-32.84191054771277,-71.47288990982474,QUINTERO
VINA DEL MAR,-33.027477164859455,-71.51544262081815,VINA DEL MAR
LOS ANDES,-32.9505118281434,-70.24294144772023,LOS ANDES
QUILLOTA,-32.90444016156681,-71.2719698442651,QUILLOTA
SAN ANTONIO,-33.664641743020184,-71.48877501024164,SAN ANTONIO
ALGARROBO,-33.32941617819222,-71.59937690806436,ALGARROBO
EL QUISCO,-33.41517963126654,-71.65162247587386,EL QUISCO
EL TABO,-33.48248675488386,-71.58075016481814,EL TABO
SAN FELIPE,-32.73605592823914,-70.7525800284149,SAN FELIPE
QUILPUE,-33.146966587403604,-71.25407146092783,QUILPUE
LIMACHE,-33.03052395284049,-71.27861930896157,LIMACHE
VILLA ALEMANA,-33.0672080172705,-71.32973473663309,VILLA ALEMANA
RANCAGUA,-34.12586229493211,-70.81667165914072,RANCAGUA
MACHALI,-34.32054832746359,-70.31913000179051,MACHALI
RENGO,-34.45490697961,-70.7181662265954,RENGO
SAN VICENTE,-34.47754215021551,-71.1232658005401,SAN VICENTE
SAN FERNANDO,-34.74356855273616,-70.60285699819148,SAN FERNANDO
SANTA CRUZ,-34.6429344233624,-71.40220796003337,SANTA CRUZ
TALCA,-35.427814657057276,-71.6025104483053,TALCA
MAULE,-35.50883865569115,-71.71344254781168,MAULE
SAN CLEMENTE,-35.711977958523896,-70.84847193488432,SAN CLEMENTE
CAUQUENES,-35.971241837506135,-72.28098560156549,CAUQUENES
CURICO,-35.199167280801575,-70.89545839906992,CURICO
LINARES,-35.958440955999336,-71.33297121792283,LINARES
PARRAL,-36.262034749148505,-71.6459256684808,PARRAL
SAN JAVIER,-35.629348340464475,-71.92778319516127,SAN JAVIER
CONCEPCION,-36.834285034353435,-72.94924686531462,CONCEPCION
CORONEL,-37.007545381125695,-73.1269610680044,CORONEL
SAN PEDRO DE LA PAZ,-36.885486394977455,-73.10116323863635,SAN PEDRO DE LA PAZ
TALCAHUANO,-36.71556714263737,-73.09904756679127,TALCAHUANO
TOME,-36.616473064345016,-72.85823531733945,TOME
LOS ANGELES,-37.40723308389502,-72.32740360971076,LOS ANGELES
TEMUCO,-38.67301522598972,-72.66787344310605,TEMUCO
LAUTARO,-38.54313447855098,-72.2887496984119,LAUTARO
PADRE LAS CASAS,-38.80216103803747,-72.5552717984984,PADRE LAS CASAS
PUCON,-39.271214929677015,-71.79240443710682,PUCON
VILLARRICA,-39.3004853866178,-72.18393449765466,VILLARRICA
ANGOL,-37.76816897068209,-72.79576352045571,ANGOL
PUERTO MONTT,-41.48821785116282,-72.79550710365493,PUERTO MONTT
PUERTO VARAS,-41.191287922137015,-72.38799064585253,PUERTO VARAS
OSORNO,-40.611492025199496,-73.08654706174204,OSORNO
COYHAIQUE,-45.55459079188488,-71.99218897656849,COYHAIQUE
PUNTA ARENAS,-53.63549609657534,-71.9674833409397,PUNTA ARENAS
SANTIAGO,-33.453294080060274,-70.65666889418918,SANTIAGO
CERRILLOS,-33.4995063752164,-70.71235392512651,CERRILLOS
CERRO NAVIA,-33.422223931008176,-70.74405752235354,CERRO NAVIA
CONCHALI,-33.3834090093014,-70.67655659026967,CONCHALI
EL BOSQUE,-33.5627494637267,-70.6761657979919,EL BOSQUE
ESTACION CENTRAL,-33.46403667378209,-70.70078053118775,ESTACION CENTRAL
HUECHURABA,-33.36016135331561,-70.63765296276358,HUECHURABA
INDEPENDENCIA,-33.41437965810033,-70.6650649169159,INDEPENDENCIA
LA CISTERNA,-33.53007147593537,-70.6638208628654,LA CISTERNA
LA FLORIDA,-33.52810456334451,-70.53983665269455,LA FLORIDA
LA GRANJA,-33.535620466583154,-70.62250091374742,LA GRANJA
LA PINTANA,-33.58758587358929,-70.63713751650387,LA PINTANA
LA REINA,-33.44708086561521,-70.53656984561978,LA REINA
LAS CONDES,-33.42101825063251,-70.50064119636798,LAS CONDES
LO BARNECHEA,-33.2991658074974,-70.3685513258829,LO BARNECHEA
LO ESPEJO,-33.52041418959636,-70.68975569696217,LO ESPEJO
LO PRADO,-33.44673649645433,-70.72294466336875,LO PRADO
MACUL,-33.48925650559538,-70.59983342303337,MACUL
MAIPU,-33.50672512568473,-70.80943155482139,MAIPU
NUNOA,-33.457775267627966,-70.59883040671131,NUNOA
PEDRO AGUIRRE CERDA,-33.491518934089136,-70.67549351634088,PEDRO AGUIRRE CERDA
PENALOLEN,-33.48516523687849,-70.52510810056316,PENALOLEN
PROVIDENCIA,-33.431612556016525,-70.61200920694003,PROVIDENCIA
PUDAHUEL,-33.42391351468754,-70.85459551523584,PUDAHUEL
QUILICURA,-33.35546806334081,-70.73534511465148,QUILICURA
QUINTA NORMAL,-33.42758402101582,-70.70089001193858,QUINTA NORMAL
RECOLETA,-33.40530437040068,-70.63928427085666,RECOLETA
RENCA,-33.40173902361186,-70.72786464389372,RENCA
SAN JOAQUIN,-33.49602163884702,-70.62836362791268,SAN JOAQUIN
SAN MIGUEL,-33.49900002777065,-70.65146883690313,SAN MIGUEL
SAN RAMON,-33.540445115099395,-70.64239219513928,SAN RAMON
VITACURA,-33.37920434832147,-70.57263950151199,VITACURA
PUENTE ALTO,-33.59093839231592,-70.55797485003207,PUENTE ALTO
PIRQUE,-33.71861524304405,-70.50659219472219,PIRQUE
SAN JOSE DE MAIPO,-33.70436160735999,-70.09672707223824,SAN JOSE DE MAIPO
COLINA,-33.13456645237163,-70.61567252676521,COLINA
LAMPA,-33.2779702072785,-70.87512514302159,LAMPA
SAN BERNARDO,-33.62887851170983,-70.7239056483881,SAN BERNARDO
BUIN,-33.74752332571866,-70.73903899300726,BUIN
CALERA DE TANGO,-33.62310128644977,-70.78993721062696,CALERA DE TANGO
PAINE,-33.86337764850613,-70.75820810719476,PAINE
MELIPILLA,-33.74393778947936,-71.19507864712762,MELIPILLA
TALAGANTE,-33.68159527904851,-70.89449343768258,TALAGANTE
EL MONTE,-33.66729842510653,-71.03300108366722,EL MONTE
ISLA DE MAIPO,-33.74836078968415,-70.94620716366252,ISLA DE MAIPO
PADRE HURTADO,-33.55731035776462,-70.87102281248274,PADRE HURTADO
PENAFLOR,-33.610876562847096,-70.89363805206852,PENAFLOR
VALDIVIA,-39.81883460065617,-73.17048899340071,VALDIVIA
RIO BUENO,-40.49612788416726,-72.53472542758902,RIO BUENO
ARICA,-18.531732508438793,-69.97257666525643,ARICA
CHILLAN,-36.61728108404969,-72.12830423509529,CHILLAN
SAN CARLOS,-36.38574053081295,-72.0184446091503,SAN CARLOS
